step,loss,lr,tokens_per_sec,mem_gb,entropy
4880,0.9182,1.4e-05,11496,8.4,1.386
4890,0.8742,1.4e-05,11250,8.4,1.386
4900,0.8741,1.4e-05,11493,8.4,1.386
4910,0.916,1.4e-05,11507,8.4,1.386
4920,0.9721,1.4e-05,11525,8.5,1.386
4930,0.9665,1.4e-05,11517,8.5,1.386
4940,0.8772,1.4e-05,11522,8.4,1.386
4950,0.9393,1.4e-05,11345,8.4,1.386
4960,0.9537,1.4e-05,11507,8.4,1.386
4970,0.9135,1.4e-05,11517,8.4,1.386
4980,0.8261,1.4e-05,11498,8.4,1.386
4990,0.932,1.4e-05,11507,8.4,1.386
5000,0.9022,1.4e-05,11508,8.4,1.386
5010,0.9917,1.4e-05,11332,8.4,1.386
5020,0.8438,1.4e-05,11495,8.4,1.386
5030,0.8624,1.4e-05,11501,8.4,1.386
5040,0.8901,1.4e-05,11494,8.4,1.386
5050,0.8957,1.4e-05,11506,8.4,1.386
5060,0.8133,1.4e-05,11486,8.4,1.386
5070,0.8968,1.4e-05,11287,8.4,1.386
5080,0.9139,1.4e-05,11502,8.4,1.386
5090,0.9378,1.4e-05,11485,8.4,1.386
5100,0.848,1.4e-05,11478,8.4,1.386
5110,0.8625,1.3e-05,11445,8.4,1.386
5120,0.9307,1.3e-05,11484,8.4,1.386
5130,0.8913,1.3e-05,11193,8.4,1.386
5140,0.8802,1.3e-05,11482,8.4,1.386
5150,0.929,1.3e-05,11489,8.4,1.386
5160,0.9412,1.3e-05,11493,8.4,1.386
5170,0.8882,1.3e-05,11496,8.4,1.386
5180,0.9744,1.3e-05,11229,8.4,1.386
5190,0.9275,1.3e-05,11503,8.4,1.386
5200,0.8857,1.3e-05,11489,8.4,1.386
5210,0.8633,1.3e-05,11505,8.4,1.386
5220,0.8924,1.3e-05,11498,8.4,1.386
5230,0.8816,1.3e-05,11496,8.4,1.386
5240,0.9512,1.3e-05,11288,8.4,1.386
5250,1.0358,1.3e-05,11505,8.4,1.386
5260,0.8538,1.3e-05,11505,8.4,1.386
5270,0.8897,1.3e-05,11504,8.4,1.386
5280,0.8954,1.3e-05,11514,8.5,1.386
5290,0.9658,1.3e-05,11493,8.4,1.386
5300,0.8849,1.3e-05,11278,8.4,1.386
5310,0.8511,1.3e-05,11503,8.4,1.386
5320,0.9321,1.3e-05,11501,8.4,1.386
5330,0.8682,1.3e-05,11495,8.4,1.386
5340,0.9897,1.3e-05,11496,8.5,1.386
5350,0.8466,1.3e-05,11509,8.4,1.386
5360,0.9022,1.3e-05,11284,8.4,1.386
5370,0.8291,1.3e-05,11509,8.4,1.386
5380,0.9003,1.3e-05,11515,8.4,1.386
5390,0.8203,1.3e-05,11515,8.4,1.386
5400,0.8643,1.3e-05,11507,8.4,1.386
5410,0.8371,1.3e-05,11512,8.4,1.386
5420,0.8844,1.3e-05,11267,8.4,1.386
5430,0.9355,1.3e-05,11497,8.4,1.386
5440,0.816,1.3e-05,11477,8.4,1.386
5450,0.9202,1.3e-05,11497,8.4,1.386
5460,0.9377,1.3e-05,11503,8.4,1.386
5470,0.8729,1.3e-05,11509,8.4,1.386
